name,tier,rarity,type,strength-boost,agility-boost,stamina-boost,intelligence-boost,social-boost,base-toxicity,weight,slug,desc
Civ T05-V026-14.89x3-0.05,5,uncommon,Medical,0,14.89,0,14.89,14.89,5%,0.03 kg,strong-multi-stim-v5-3-026,"A civilian stim affecting agility, social, and intelligence."
Civ T04-V009-13.76x2-0.075,4,uncommon,Medical,13.76,0,0,0,13.76,7%,0.03 kg,standard-multi-stim-v4-2-009,A civilian stim affecting strength and social.
Civ T02-V022-5.25x3-0.05,2,rare,Medical,0,5.25,5.25,5.25,0,5%,0.03 kg,strong-multi-stim-v2-3-022,"A civilian stim affecting agility, stamina, and intelligence."
Mil T01-V029-3.60-3.62-3.68-3.62-0.03,1,epic,Medical,3.6,0,3.62,3.62,3.68,3%,0.03 kg,minor-military-stim-v21029,"A military stim affecting strength, stamina, social, and intelligence."
Mil T03-V023-4.92x4-0.03,3,common,Medical,4.92,4.92,4.92,4.92,0,3%,0.03 kg,standard-military-stim-v32023,"A military stim affecting strength, agility, stamina, and intelligence."
Civ T03-V003-9.82x2-0.075,3,rare,Medical,9.82,9.82,0,0,0,7%,0.03 kg,standard-multi-stim-v3-2-003,A civilian stim affecting strength and agility.
Civ T05-V024-20.33x2-0.075,5,rare,Medical,0,0,0,20.33,20.33,7%,0.03 kg,standard-multi-stim-v5-2-024,A civilian stim affecting social and intelligence.
Civ T04-V026-8.32x3-0.1,4,common,Medical,0,8.32,0,8.32,8.32,10%,0.03 kg,minor-multi-stim-v41026,"A civilian stim affecting agility, social, and intelligence."
Civ T03-V024-9.82x2-0.075,3,rare,Medical,0,0,0,9.82,9.82,7%,0.03 kg,standard-multi-stim-v3-2-024,A civilian stim affecting social and intelligence.
Mil T03-V031-3.68x5-0.035,3,common,Medical,3.68,3.68,3.68,3.68,3.68,3%,0.03 kg,minor-military-stim-v31031,"A military stim affecting strength, agility, stamina, social, and intelligence."
Civ T05-V024-22.31x2-0.05,5,uncommon,Medical,0,0,0,22.31,22.31,5%,0.03 kg,strong-multi-stim-v5-3-024,A civilian stim affecting social and intelligence.
Civ T02-V028-4.80x3-0.075,2,uncommon,Medical,0,0,4.8,4.8,4.8,7%,0.03 kg,standard-multi-stim-v2-2-028,"A civilian stim affecting stamina, social, and intelligence."
Mil T03-V023-7.54x4-0.03,3,epic,Medical,7.54,7.54,7.54,7.54,0,3%,0.03 kg,strong-military-stim-v43023,"A military stim affecting strength, agility, stamina, and intelligence."
Civ T04-V028-10.05x3-0.05,4,rare,Medical,0,0,10.05,10.05,10.05,5%,0.03 kg,strong-multi-stim-v4-3-028,"A civilian stim affecting stamina, social, and intelligence."
Civ T05-V006-20.33x2-0.075,5,rare,Medical,0,20.33,20.33,0,0,7%,0.03 kg,standard-multi-stim-v5-2-006,A civilian stim affecting agility and stamina.
Civ T05-V021-13.58x3-0.075,5,common,Medical,13.58,0,13.58,13.58,0,7%,0.03 kg,standard-multi-stim-v5-2-021,"A civilian stim affecting strength, stamina, and intelligence."
Civ T05-V021-12.67x3-0.1,5,uncommon,Medical,12.67,0,12.67,12.67,0,10%,0.03 kg,minor-multi-stim-v51021,"A civilian stim affecting strength, stamina, and intelligence."
Civ T02-V022-4.80x3-0.075,2,uncommon,Medical,0,4.8,4.8,4.8,0,7%,0.03 kg,standard-multi-stim-v2-2-022,"A civilian stim affecting agility, stamina, and intelligence."
Soc T02-V008-9.00-0.075,2,common,Medical,0,0,0,0,9,7%,0.03 kg,standard-social-stim-v12008,A basic social stim.
Mil T04-V031-8.13x5-0.035,4,epic,Medical,8.13,8.13,8.13,8.13,8.13,3%,0.03 kg,standard-military-stim-v52031,"A military stim affecting strength, agility, stamina, social, and intelligence."
Mil T05-V031-13.39x5-0.035,5,epic,Medical,13.39,13.39,13.39,13.39,13.39,3%,0.03 kg,strong-military-stim-v63031,"A military stim affecting strength, agility, stamina, social, and intelligence."
Civ T02-V020-7.88x2-0.05,2,rare,Medical,0,0,7.88,7.88,0,5%,0.03 kg,strong-multi-stim-v2-3-020,A civilian stim affecting stamina and intelligence.
Civ T02-V005-7.20x2-0.075,2,uncommon,Medical,7.2,0,7.2,0,0,7%,0.03 kg,standard-multi-stim-v2-2-005,A civilian stim affecting strength and stamina.
Civ T02-V020-7.20x2-0.1,2,uncommon,Medical,0,0,7.2,7.2,0,10%,0.03 kg,minor-multi-stim-v2-1-020,A civilian stim affecting stamina and intelligence.
Mil T03-V030-6.24x4-0.03,3,uncommon,Medical,0,6.24,6.24,6.24,6.24,3%,0.03 kg,minor-military-stim-v41030,"A military stim affecting agility, stamina, social, and intelligence."
Civ T04-V026-9.19x3-0.075,4,uncommon,Medical,0,9.19,0,9.19,9.19,7%,0.03 kg,standard-multi-stim-v4-2-026,"A civilian stim affecting agility, social, and intelligence."
Civ T02-V019-4.80x3-0.075,2,uncommon,Medical,4.8,4.8,0,4.8,0,7%,0.03 kg,standard-multi-stim-v2-2-019,"A civilian stim affecting strength, agility, and intelligence."
Civ T02-V018-7.20x2-0.1,2,uncommon,Medical,0,7.2,0,7.2,0,10%,0.03 kg,minor-multi-stim-v2-1-018,A civilian stim affecting agility and intelligence.
Mil T02-V027-5.25x4-0.03,2,epic,Medical,5.25,5.25,0,5.25,5.25,3%,0.03 kg,strong-military-stim-v33027,"A military stim affecting strength, agility, social, and intelligence."
Civ T05-V020-19.01x2-0.1,5,uncommon,Medical,0,0,19.01,19.01,0,10%,0.03 kg,minor-multi-stim-v5-1-020,A civilian stim affecting stamina and intelligence.
Mil T05-V015-9.51x4-0.03,5,common,Medical,9.51,9.51,9.51,0,9.51,3%,0.03 kg,minor-military-stim-v51015,"A military stim affecting strength, agility, stamina, and social."
Civ T03-V003-9.19x2-0.1,3,rare,Medical,9.19,9.19,0,0,0,10%,0.03 kg,minor-multi-stim-v3-1-003,A civilian stim affecting strength and agility.
Civ T02-V018-7.20x2-0.075,2,uncommon,Medical,0,7.2,0,7.2,0,7%,0.03 kg,standard-multi-stim-v2-2-018,A civilian stim affecting agility and intelligence.
Civ T04-V005-15.08x2-0.05,4,rare,Medical,15.08,0,15.08,0,0,5%,0.03 kg,strong-multi-stim-v43005,A civilian stim affecting strength and stamina.
Civ T04-V018-13.76x2-0.075,4,uncommon,Medical,0,13.76,0,13.76,0,7%,0.03 kg,standard-multi-stim-v4-2-018,A civilian stim affecting agility and intelligence.
Civ T05-V017-22.31x2-0.05,5,uncommon,Medical,22.31,0,0,22.31,0,5%,0.03 kg,strong-multi-stim-v5-3-017,A civilian stim affecting strength and intelligence.
Mil T01-V015-3.62-3.66-3.58-3.62-0.03,1,epic,Medical,3.62,3.66,3.58,0,3.62,3%,0.03 kg,standard-military-stim-v22015,"A military stim affecting strength, agility, stamina, and social."
