name,tier,rarity,type,piercing-damage,impact-damage,energy-damage,weight,slug,desc
Gaule Training Vest,1,epic,Armor,0.42,0,5.81,6.62 kg,gaule-training-vest,"This training vest is used to accustom Gaule soldiers with the basics of energy weapon-based combat. Away from the academy, it still provides valuable protection against lasers and beams."
Light Diffusion Jump Suit,2,common,Armor,0,0,5.57,2.00 kg,light-diffusion-jump-suit,"Designed to cover the wearer from ankle to neck, this jump suit is made from a shiny silver fabric. Black tribal patterns adorn both hips and travel down the legs."
Rook's Spidersilk Jacket,3,rare,Armor,6.73,10.29,0,7.90 kg,rooks-spidersilk-jacket,"A lightweight black jacket, made of genetically enhanced spidersilk. Trauma plates made of vat-grown limpet teeth line the interior of the back and chest. Chains hang in loops on each shoulder, and the cuffs of the sleeves sport a sprinkling of sharp spikes."
Kikko Katabira,3,uncommon,Armor,0,10.05,6.37,8.00 kg,kikko-katabira,"A long brown jacket, covered in chain armor to which hardened leather hexagonal plates have been fastened."
Light Spidersilk Flak Jacket,2,common,Armor,6.47,0,0,6.50 kg,light-spidersilk-flak-jacket,"Lightweight, with interior trauma plates of ceramic, this flak jacket is good for longer missions where heavier armor isn't required."
Tattered LCVG-X7,1,uncommon,Armor,1.21,0.83,1.35,3.40 kg,tattered-lcvg-x7,"This Liquid Cooling and Ventilation Garment  (X7 series) is tight enough to fit under a bulkier space suit. Broken tubes flop around when the wearer moves, and the fabric of the suit is torn in multiple places."
Patelloida Plate,2,common,Armor,7.04,0,0,11.00 kg,patelloida-plate,"Vat-grown limpet teeth plates have been sewn onto a heavy shirt of chain mail, backed with leather."
Anti-Energy Scale Mail,3,rare,Armor,6.36,0,10.64,11.00 kg,anti-energy-scale-mail,Sturdy scales of anti-energy plastics attached to a titanium chain mail suit make up this light weight vest.
Patchwork Long Coat,1,common,Armor,0,0.58,0,4.00 kg,patchwork-long-coat,"A heavy coat made from thick, quilted fabrics. At one time, its patchworks were probably very bright. In places, the stitching has come loose, and tufts of yellowed batting can be seen."
Glass Armor,3,rare,Armor,0,6.86,10.5,9.80 kg,glass-armor,"Clear, anti-energy plastic that has the look of cut glass, this armor catches the light and spits reflections of it in every direction."
Anti-Energy Plate Armor,2,common,Armor,0,0,6.95,12.00 kg,anti-energy-plate-armor,"Like an ancient knight of earth, this suit will deck you out head to toe in plates of metal. Unlike those of long ago, this suit has a multitude of hoses and tubes, fans and circuitry to assist with movement, cooling, and to run the suit's anti-electric field."
Battered Breastplate,1,common,Armor,2.45,0,0,8.00 kg,battered-breastplate,"Made from thick plastic, this brittle breastplate is lined with cracks and warped with dents."
Worn Overalls,1,common,Armor,0,0,1.13,2.60 kg,worn-overalls,"A pair of black overalls, gray in places from long segments of use as surgery overalls."
Padded Jumpsuit,2,common,Armor,0,3.5,2.24,3.50 kg,padded-jumpsuit,"A thick, padded jumpsuit with a reflective sheen to the outer layer."
Rusted Scale Mail,1,common,Armor,2.05,0,0,10.00 kg,rusted-scale-mail,Flat oval discs overlap each other on the front and back of this old vest. Many of the discs are missing or corroding away.
SBS Tactical Combat Vest Deluxe,1,epic,Armor,3.44,3.3,0.24,3.24 kg,sbs-tactical-combat-vest-deluxe,"Originally scavenged from a cache of gear from Before, this armor is masterfully crafted. Words soldered onto the inside of the metallic lapel read, ""Property of Shield Battalion Sigma. Thieves will be shot, survivors will be shot again."" The deluxe version includes a set of battle gloves."
Heavy Ceramic Armor,4,common,Armor,7.72,0,11.45,13.00 kg,heavy-ceramic-armor,"Black as night and very rigid, the heavy ceramic armor is strong protection against energy and piercing attacks."
Ripped Jumpsuit,1,common,Armor,0,0,1.45,2.10 kg,ripped-jumpsuit,"This jumpsuit rides up in all the wrong places and seems to have been sewn poorly. Someone attempted to fix the rip at the knee, but apparently gave up halfway through."
Reflective Catsuit,1,epic,Armor,0,3.64,2.85,2.50 kg,reflective-catsuit,"A tight, flexible suit, made from a shiny, reflective material. Comes in a multitude of colors. This one is fuchsia."
Moth Eaten Kimono,1,common,Armor,0,1.79,0,7.00 kg,moth-eaten-kimono,"A mixture of layers of cloth with some bits of decorative leather, this garment is soiled and full of holes. The obi is missing, but someone attached an old leather belt to it at some point to help keep it closed."
Anti-Energy Kaftan,2,common,Armor,0,0,6.99,2.50 kg,anti-energy-kaftan,"This long overdress has long bell sleeves and reaches to the ankles. Decorated with vertical stripes and embroidery, and made from diffusion fabrics, this kaftan offers comfort and protection, all while not sacrificing fashion."
