name,tier,rarity,type,range,hand-to-hand,weapon_type,piercing-damage,impact-damage,energy-damage,accuracy,weight,slug,desc
Homemade Taser,1,common,Weapon,Short,Yes,Club,0,0,0.62,0.089,0.90 kg,homemade-taser,"It’s amazing what one can construct with little more than a battery cell, engineer tape, and an old wrench."
The Legion’s Horn,1,uncommon,Weapon,Short,No,Handgun,0,0,2.5,1,1.00 kg,the-legions-horn,"They say the appearance of this blaster started a hundred battles, but it was the sound of its fire that ended them."
Dissident Disclaimer,5,common,Weapon,Long,No,Sniper Rifle,23.91,0,0,0.4,4.39 kg,dissident-disclaimer,"Branded as the final word in crowd control, this sniper rifle designed by the house of Spartacus and Marketed towards Consortium and Guale Protectorate peacekeeping forces."
Taungoo Jutte,2,common,Weapon,Short,Yes,Club,0,0,6.76,0.015,0.89 kg,taungoo-jutte,"Favored for the ability to disarm or parry, this iron weapon has been known to snap the blades of swords ten-times the Jutte’s worth by capturing the offender’s blade in an attached dull hook-trap."
Platinum Quarterstaff,2,common,Weapon,Short,Yes,Club,0,6.68,0,0.193,3.18 kg,platinum-quarterstaff,This high-shine pole passes easily for a mere walking stick.
Osmium Mallet,3,common,Weapon,Short,Yes,Club,0,0,12.31,0.209,3.60 kg,osmium-mallet,"Used to hammer into interior station stone for construction purposes, this mallet has an isolated detonation charge on the end. Handle with caution."
Alpine 1NK,2,epic,Weapon,Long,No,Sniper Rifle,8,2,2,0.305,2.60 kg,alpine-1nk,"The Alpine 1NK is one of AJAX’s premium grade snipers, favored by the Gaule armed forces. It’s devastatingly  precise, able to take deadly aim with a digitally enhanced scope."
Xiana,4,epic,Weapon,Short,Yes,Blade,4,16,4,0.149,1.80 kg,xiana,The knife of a true warrior. Well weighted and a specially designed hilt for maximum comfort over long periods held.
Predication,4,common,Weapon,Long,No,Shotgun,0,12.73,5.87,0.154,3.50 kg,predication,A shotgun that spits out a spray of photon along with a nasty base impact damage.
Ionized Plasma Pliers,2,epic,Weapon,Short,Yes,Club,0,11,0.61,0.17,0.91 kg,ionized-plasma-pliers,"Designed to withstand the pressures of a spacefaring engine operating at full capacity, this tool is coated with energy redirecting nanotech. When, as it often is now, used as a weapon, it packs quite the added thermodynamic punch."
Homemade Pocketknife,2,common,Weapon,Short,Yes,Blade,5.1,0,0,0.5,0.10 kg,homemade-pocketknife,"This homemade pocketknife, although simple, is decently crafted."
Antique Tantō,1,epic,Weapon,Short,Yes,Blade,5.35,0,0,0.14,0.11 kg,antique-tanto,"This antique dagger was forged by the illustrious Yasutsuna Corp, but has seen better days."
Han-Dachi,2,uncommon,Weapon,Short,Yes,Blade,9.64,0,0,0.15,0.72 kg,han-dachi,"Half the size of the usual tachi, the han-dachi is crafted with concealment in mind."
Auto Slicer,1,common,Weapon,Short,Yes,Blade,2.75,0,0,0.05,4.00 kg,auto-slicer,The Auto Slicer's innards house a high speed slicer mechanism that rapidly fires chunks of its ammo core.
Kestrel Minority Short Barrel Rifle,2,epic,Weapon,Short,No,Short Barrel Rifle,13.19,2.4,0,0.58,4.88 kg,kestrel-minority-short-barrel-rifle,A high tech and sleek looking short barrel rifle utilized by mercenaries of the Kestrel Minority.
Dusk’s Downfall,2,epic,Weapon,Short,Yes,Blade,0,0,15.72,0.72,3.58 kg,dusks-downfall,"Its retractable twin blades, glowing with conducted energy, can efficiently pierce defenses at close distances. Its quiet vibrations remind you of how much you've accomplished, and how long there is left to go."
Zeno IX,1,epic,Weapon,Long,No,Shotgun,1,4,1,0.251,1.50 kg,zeno-ix,Your gun on the go! The Zeno IX is lightweight enough for easy travel but packs that punch your enemies won't soon forget.
Industrial Grade Soldering Iron,1,rare,Weapon,Short,Yes,Club,0,0,4.87,0.142,0.49 kg,industrial-grade-soldering-iron,A tool used for everything from station maintenance to ship repair. The heating element could be a deadly weapon.
Knuckle Irons,2,common,Weapon,Short,Yes,Club,0,0,8.14,0.1,1.45 kg,knuckle-irons,A set of inter-connected rings that slip over the knuckles for hand-to-hand combat. Activator pads on the exterior heat on contact.
Heavy Repeating Projectile Launcher,3,common,Weapon,Short,No,Handgun,0,12.5,0,0.48,1.66 kg,heavy-repeating-projectile-launcher,"The Scientist Schismatics of Heinlein Stronghold are not known for their skills when it comes to branding their inventions. Banal naming aside, this handgun packs a punch nonetheless!"
Well-Worn Machete,5,epic,Weapon,Short,Yes,Blade,8.18,21.24,0,0.37,2.07 kg,well-worn-machete,Machetes are very popular on Estación de Amazon to cut through the thick brush of the Ruins. This one has seen better days but it still works.
The Golden Machete,4,epic,Weapon,Short,Yes,Blade,23.37,0.69,0.74,0.47,3.38 kg,the-golden-machete,A very sleek looking blade that shimmers with a dangerous potential for pain.
Coiled Chain,3,uncommon,Weapon,Short,Yes,Club,0,15.85,0,0.3,4.03 kg,coiled-chain,"A long coil of welded chain links. It's crude, it's painful, and highly effective."
ThreaderC11,1,rare,Weapon,Long,No,Sniper Rifle,0,5.19,0,0.115,11.99 kg,threaderc11,"The sniper rifle that hopeful Consortium recruits test with, the Threader is heavily mass-produced and uniform in every imaginable way."
Tuck,2,common,Weapon,Short,Yes,Blade,6.85,0,0,0.128,0.36 kg,tuck,A triangular hand-blade popular among the protesters of Nouveau Limoges.
Handgun: Jade Reaper Range,2,epic,Weapon,Short,No,Handgun,0,11.12,0.49,0.35,0.78 kg,handgun-jade-reaper-range,A Handgun from a specially commissioned range of weapons for a mercenary group.
G-TS68,3,common,Weapon,Short,No,Handgun,0,0,11.85,0.212,0.93 kg,g-ts68,A handgun used by agents of SAG.
Ruby Kiss Long Range Rifle,3,epic,Weapon,Long,No,Sniper Rifle,17.97,0,0,0.27,6.09 kg,ruby-kiss-long-range-rifle,"A blaster rifle for the warrior poet. Gift your foes with a fiery hail of death from this sleek instrument of blessed mayhem, designed for your pleasure by the weaponsmiths of the Yasutsuna Corporation."
Filthy Shotgun,2,common,Weapon,Long,No,Shotgun,0,0,6.49,0.084,3.30 kg,filthy-shotgun,This shotgun seems to have spent the vast majority of its existence buried under ruin rubble.
Golden Sunset Series Blaster Rifle,1,epic,Weapon,Long,No,Rifle,0,0.9,6.8,0.19,5.89 kg,golden-sunset-series-blaster-rifle,"Gold plated in places to appeal to those with both the credits to spend and the eloquence to kill in style, the Golden Sunset Series aims to impress your victim for the few moments of life they have left."
Sniper Rifle: Trailblazing Blazers,3,epic,Weapon,Long,No,Sniper Rifle,17.29,0.01,2.84,0.27,3.29 kg,sniper-rifle-trailblazing-blazers,A combination ballistic/energy rifle and part of a range built for durability on the frontiers of civilised space.
Obsidian Shot,3,common,Weapon,Long,No,Shotgun,0,0,12.21,0.162,3.60 kg,obsidian-shot,"An unusual gun with a long and wide barrel. Classified as a shotgun, this weapon sprays a cone of energy across anything in its path."
X35 Hornet,4,epic,Weapon,Short,No,Short Barrel Rifle,0.5,5.53,16.95,0.55,5.02 kg,x35-hornet,A sleek and deadly design so called due to the almost buzzing sound that accompanies its rapid fire projectiles.
Heat Scimitar,4,common,Weapon,Short,Yes,Blade,10.6,0,8.42,0.125,1.10 kg,heat-scimitar,"The sword's unique blade allows it to carve through the air at extreme speed. Its special design converts the resulting air friction into heat, causing its central spine to glow deep amber. Originally a ceremonial item, it is nonetheless a formidable combat weapon."
Bronze Bodyguard: Longeye Collection,3,uncommon,Weapon,Long,No,Sniper Rifle,0,13.01,2.22,0.34,3.10 kg,bronze-bodyguard-longeye-collection,"A long and sleek sniper rifle developed by HWT. For those times when you need to slay your enemy, but you also want to hurt them..."
Schismatic's Shocking Rebuke,3,uncommon,Weapon,Short,Yes,Club,0,7.7,7.77,0.47,2.51 kg,schismatics-shocking-rebuke,"The Scientist Schismatics of Heinlein Stronghold love nothing more than a good discourse, and this was developed as their final word."
Ruby Kiss Short Barrel Rifle,3,rare,Weapon,Short,No,Short Barrel Rifle,0,15.97,0,0.52,3.49 kg,ruby-kiss-short-barrel-rifle,"A blaster rifle for the warrior poet. Gift your foes with a fiery hail of death from this sleek instrument of blessed mayhem, designed for your pleasure by the weaponsmiths of the Yasutsuna Corporation."
Worn Down Bokken,1,common,Weapon,Short,Yes,Club,0,0,2.33,0.037,1.40 kg,worn-down-bokken,A badly damaged training weapon. Seems very old.
Pirate's Penance Rifle,3,common,Weapon,Long,No,Rifle,0,12.82,0,0.39,1.51 kg,pirates-penance-rifle,The Pirate's Penance series is a range of weaponry named and branded towards Freebooters by the marketing division of Ajax Arms and Armors.
Jury Rigged Hand Cannon,5,epic,Weapon,Short,No,Handgun,9.38,19.85,0,0.38,1.05 kg,jury-rigged-hand-cannon,"Someone has, possibly quite lovingly as well as expertly, extended the muzzle of this handgun with a plasma emitter to enhance its explosive power."
G-B21E,3,common,Weapon,Short,No,Handgun,0,0,11.7,0.2,0.90 kg,g-b21e,An electric handgun often carried by undercover SAG operatives.
Rusty Shotel,1,uncommon,Weapon,Short,Yes,Blade,2.99,0,0,0.5,0.87 kg,rusty-shotel,A worn curved sword that is nearly a semicircle.
Shredhand of moritz,3,common,Weapon,Short,Yes,Blade,11.4,0,0,0.2,1.20 kg,shredhand-of-moritz,"Useful in close encounters of the hostile kind, this blade smiles wider the faster it spins. This weapon carries many-a-memory of late night handshakes on the station Yards of Gadani. A favorite of the citizen moritz."
Needler Class Tactical Shotgun Mark II,4,epic,Weapon,Short,No,Handgun,1.06,16.84,6.97,0.19,3.30 kg,needler-class-tactical-shotgun-mark-ii,"A weapon designed by House of Spartacus weapons marketing divisions and aimed at elite clientele. Even the deadly, armor piercing ordnance, for some reason, has been dyed a sleek and pleasant purple color."
Old Shoe,1,common,Weapon,Short,Yes,Club,0,0.94,0,0.5,1.10 kg,old-shoe,A raggedy shoe attached to the end of a solid pipe. Excellent for doling out a little pow-pow to unruly hooligans.
Caracal's Swat,3,epic,Weapon,Long,No,Shotgun,0,19.37,0,0.26,4.60 kg,caracals-swat,"A sleek shotgun of complex and lethal design. Allegedly developed for combat by the secretive Caracals of the House of Congo. These guns are rare and, usually, one only gets a single look at them."
Pirate's Penance: Assault Rifle,3,common,Weapon,Long,No,Rifle,4.86,4.77,4.79,0.39,6.90 kg,pirates-penance-assault-rifle,The Pirate's Penance series is a range of weaponry named and branded towards Freebooters by the marketing division of Ajax Arms and Armors.
Confiscated Bladed Knuckles,2,epic,Weapon,Short,Yes,Blade,4.01,0,8.51,0.11,1.00 kg,confiscated-bladed-knuckles,A set of brass knuckles fitted with blades to shred and shock on impact.
Carnelian Cudgel,3,epic,Weapon,Short,Yes,Club,22.06,0,0,0.54,2.24 kg,carnelian-cudgel,A favorite of combatants - especially Freebooters - who want their weapons to have a bit of extra reach. The weapon's red head may help conceal enemy blood stains.
Dulled Bolt Cutters,1,common,Weapon,Short,Yes,Club,0,0,1.64,0.5,0.90 kg,dulled-bolt-cutters,"Too dull to cut, these bolt cutters have been discarded, yet still heat to melt metal."
Plankwalker,2,common,Weapon,Short,No,Handgun,0,0,8.47,0.123,0.83 kg,plankwalker,A simple and affordable option often chosen by Sol System mercenaries as the stun gun weapon of choice.
Cargo Crank,1,common,Weapon,Short,Yes,Club,0,0,2.63,0.016,1.30 kg,cargo-crank,A basic crank used to manually move heavy crates along the non-automated sections of the shipping bay.
Sloane 6000,1,epic,Weapon,Long,No,Rifle,2,0,4,0.166,1.20 kg,sloane-6000,"Power is the Sloane 6000's specialty. Although its heat-up times are longer than other weapons, the enormous, bright blast is worth it."
The Tiger’s Claws,4,epic,Weapon,Short,Yes,Blade,16,4,4,0.161,1.30 kg,the-tigers-claws,"These gorgeously designed claws fit over the wearer’s hand like a glove. Part of Yasutsuna’s line of luxury weapons, the bold bright red finish and long metal arm attachment makes The Tiger’s Claws  as beautiful as they are deadly."
Cannon-C56,2,common,Weapon,Long,No,Shotgun,0,0,6.08,0.08,3.40 kg,cannon-c56,A short range snub shotgun used by Consortium when boarding hostile vessels.
Moldy Steel Sap Gloves,1,uncommon,Weapon,Short,Yes,Club,0,3.01,0,0.5,1.13 kg,moldy-steel-sap-gloves,These weighted gloves have powdered steel sewn into the knuckles. They look bad and smell worse.
Rusted Butterfly Knife,1,uncommon,Weapon,Short,Yes,Blade,3.18,0,0,0.5,0.40 kg,rusted-butterfly-knife,"This butterfly knife is damaged, but can do the job in a pinch."
GX37 All Round Tactical Shotgun,3,epic,Weapon,Long,No,Shotgun,1.9,16.17,0,0.45,10.08 kg,gx37-all-round-tactical-shotgun,"Hephaestus Weapons Tech's range of special ordinance firearms that include armor piercing rounds that, in the words of their marketing department, ""both sizzle and pop."""
Sapphire Shotgun,4,epic,Weapon,Long,No,Shotgun,0,27.85,0,0.82,2.24 kg,sapphire-shotgun,"This multicolor weapon is lighter than it looks. Seasoned fighters can learn to draw, aim and fire the Sapphire Shotgun before opponents even have them in their sights."
Black Piercer: Semi-Auto Series,3,common,Weapon,Short,No,Short Barrel Rifle,0,0,14.12,0.32,1.25 kg,black-piercer-semi-auto-series,A fairly common weapon among the Freebooters of the Apples of Discord. This semi-automatic blaster is designed with explosive ordnance.
L33T Hand Blaster,3,uncommon,Weapon,Short,No,Handgun,0,14.81,0,0.34,0.56 kg,l33t-hand-blaster,Privately printed black market guns used by juvenile gangs of the Apples of Discord to enforce their smuggling routes.
Freebooter's Chimeric Sniper Rifle,4,common,Weapon,Long,No,Sniper Rifle,0.26,17.64,0,0.42,5.73 kg,freebooters-chimeric-sniper-rifle,"A slapdash firearm fashioned from a collection of parts from many different guns, no doubt, the only parts that still worked. Surprisingly effective!"
Heat Knuckles,3,common,Weapon,Short,Yes,Club,0,0,11.67,0.133,0.49 kg,heat-knuckles,A set of brass knuckles with isolated heat pads.
Charge Cable,1,common,Weapon,Short,Yes,Club,0,0,1.02,0.5,0.90 kg,charge-cable,A heavy ended cable with a serious looking prog plug attached.
Golden Sunset Series Com-Bat,1,epic,Weapon,Short,Yes,Club,0,3.89,2.1,0.1,3.99 kg,golden-sunset-series-com-bat,"Gold plated in places to appeal to those with both the credits to spend and the eloquence to kill in style, the Golden Sunset Series aims to impress your victim for the few moments of life they have left."
Dull-Tip Spark Phurba,2,common,Weapon,Short,Yes,Club,0,0,6.44,0.15,1.46 kg,dull-tip-spark-phurba,This old phurba features five faces on the hilt and acts as a stun prod for close-quarter-combat fighting.
Aged Kodachi,3,rare,Weapon,Short,Yes,Blade,10.23,0,0,0.166,0.88 kg,aged-kodachi,This short blade seems to have been neglected for a long time.
Grooved Pipe,1,rare,Weapon,Short,Yes,Club,0,5.07,0,0.103,1.81 kg,grooved-pipe,An old pipe with a grooved end.
Dissident Disincliner,5,common,Weapon,Long,No,Shotgun,21.13,2.72,0,0.61,8.03 kg,dissident-disincliner,A particularly intimidating looking combat shotgun designed by the House of Spartacus and marketed towards Consortium and Gaule Protectorate 'peacekeeping' forces.
Cane Knife,2,uncommon,Weapon,Short,Yes,Blade,9.67,0,0,0.15,0.89 kg,cane-knife,"A cutting tool used primarily to harvest sugarcane. The handle is comprised of durable composite plaster while the blade, wide and flat like a cleaver, features a hook at the far end to better collect the cut cane."
Scavengers Khopesh,1,epic,Weapon,Short,Yes,Blade,6.05,0,0.41,0.29,1.73 kg,scavengers-khopesh,"A number of these deadly looking blades have started cropping up in the ruins, suggesting someone is manufacturing and distributing them to scavengers."
ENT-SMG,2,uncommon,Weapon,Short,No,Short Barrel Rifle,0,9.01,0,0.114,2.80 kg,ent-smg,"The submachine gun version of the EnterpriserC29 is a heavier weapon than its smaller sibling. It is used by many, from professional officers to civilians, as a personal defense weapon."
Suppression,1,rare,Weapon,Short,Yes,Club,0,4.82,0,0.062,0.95 kg,suppression,A metal stick-weapon favored by members of The Peerage on Daedalus Station. Can bludgeon or stun.
Corvo,3,common,Weapon,Short,Yes,Blade,12.35,0,0,0.219,0.58 kg,corvo,A very light synthsilk glove with attached Tamahagane steel knives.
L33T Suppressed Sniper Rifle,3,uncommon,Weapon,Long,No,Sniper Rifle,5.26,5.22,5.3,0.05,4.71 kg,l33t-suppressed-sniper-rifle,Privately printed black market guns used by juvenile gangs of the Apples of Discord to enforce their smuggling routes.
F-S Fighting Knife,1,common,Weapon,Short,Yes,Blade,2.5,0,0,0.2,0.20 kg,f-s-fighting-knife,"Few remember what the ""F-S"" stands for. They know it's good at stabbing people, though."
The Jaded Response,2,epic,Weapon,Short,No,Short Barrel Rifle,1.29,0,11,0.54,1.35 kg,the-jaded-response,"Apparently produced by a short lived illegal weapons manufacturer operating out of the ruins of Moisson Station, this design was his one claim to fame before he was violently retired by this very series during a deal gone sour."
Little Timmy,3,common,Weapon,Long,No,Shotgun,0,0,11.53,0.137,3.20 kg,little-timmy,"Found near the skeletal remains of a child, this little ruins shotgun packs a punch."
Short Circuit Series Energy Cudgel,5,epic,Weapon,Short,Yes,Club,0,25.52,4.27,0.5,4.36 kg,short-circuit-series-energy-cudgel,"This energy club, while a jury-rigged job, has been expertly crafted by an engineer of great skill and sold on the black market."
Spark-Style Igniter,1,common,Weapon,Short,Yes,Club,0,0,0.59,0.5,0.22 kg,spark-style-igniter,"Used in lighting pilot lights, this handy rod emits incredible heat, incredibly quickly."
Bronze Bodyguard: Blaster Rifle,3,uncommon,Weapon,Long,No,Rifle,0,0,15.01,0.29,7.35 kg,bronze-bodyguard-blaster-rifle,"A short and sleek, burst type rifle developed by HWT. Fires energy based ordnance that leave no pesky physical ammo to trace back."
Sharpened Ice Club,2,uncommon,Weapon,Short,Yes,Blade,9.73,0,0,0.241,1.81 kg,sharpened-ice-club,A club with a hacking blade attached.
Jade Tactical Shotgun,5,uncommon,Weapon,Long,No,Shotgun,15.08,12.16,0,0.8,5.19 kg,jade-tactical-shotgun,A sleek and verdant colored anti-personnel shotgun designed by the Yasutsuna Corp and branded towards station militia and bodyguard organizations.
Titanium Maul,2,uncommon,Weapon,Short,Yes,Club,0,9.32,0,0.099,3.20 kg,titanium-maul,A simple maul crafted from carbon and titanium.
The Slice 'n Dazzle,1,epic,Weapon,Short,Yes,Blade,0,3.27,2.38,0.28,0.56 kg,the-slice-n-dazzle,A series of blades rumored to have been crafted by a mad engineer out in the ruins of Bordeaux Station with a penchant for pain with an element of surprise.
Improved Taungoo Brick,4,rare,Weapon,Short,Yes,Club,0,16.32,6.78,0.3,5.46 kg,improved-taungoo-brick,An improvised weapon made with a manipulated battery pack attached to a chunk of ruin rubble as a handle. The ‘Brick’ is then wrapped in a small length of clothing or fabric recovered from the Taungoo Ruins. Said to curse those it strikes ‘with the sorrow of two million lost souls’.
Student's Scalpel,1,rare,Weapon,Short,Yes,Blade,1.34,0,3.54,0.09,0.30 kg,students-scalpel,"This surgical tool for use in the cutting of flesh, bone, and cartilage was designed to heal when in the hands of an upper-level medical student. But …hey… You’re not really a medical student, now are you?"
Joltkeeper 2.0,4,rare,Weapon,Short,Yes,Club,0,18.95,4.01,0.31,1.89 kg,joltkeeper-20,A well balanced mace crafted with high quality alloys and able to deliver a jolt of energy upon impact. An improved design upon the original.
Juliette a Menti,2,common,Weapon,Long,No,Sniper Rifle,0,7.47,0,0.202,12.00 kg,juliette-a-menti,"The name of this homemade sniper rifle is only known from the phrase carved into the stock, ‘Juliette a Menti’. Most anything else about this firearm is a mystery."
K.E.V.I.N's M'Killister,5,uncommon,Weapon,Short,Yes,Blade,17.94,8.8,0,0.63,4.10 kg,kevins-mkillister,A weaponized spade that was used by K.E.V.I.N to incapacitate one of the crooks known as the Angels with Filthy Souls during the Emberfest.
Naboot,2,common,Weapon,Short,Yes,Club,0,0,7.03,0.168,2.72 kg,naboot,An iron quarterstaff used by the eldest of the Moissan Station population. A traditional weapon that doubles as a walking stick.
Pulse Rifle,1,uncommon,Weapon,Long,No,Rifle,0,0,3.1,0.08,6.00 kg,pulse-rifle,A high power energy rifle that fires in rapid bursts of three.
Thowan-89,3,epic,Weapon,Short,No,Handgun,0,4,14,0.149,1.20 kg,thowan-89,"A hardy, lightweight handgun brought to you by AJAX. Strongly favored by undercover Gaule military personnel for its ease of use and discretion."
Heated Prod,2,uncommon,Weapon,Short,Yes,Club,0,0,9.53,0.248,2.27 kg,heated-prod,"This tool was specifically designed to bring water samples to their boiling point. Used as a weapon, it is sure to sear."
Electric Charged Fence Post,2,rare,Weapon,Short,Yes,Club,0,0,10.48,0.182,3.10 kg,electric-charged-fence-post,"A discarded piece of someone’s crop border, this fence post was designed to keep wanderers out of the produce."
Modified Blaster Rifle,5,common,Weapon,Long,No,Rifle,0,0.15,26.62,0.78,3.82 kg,modified-blaster-rifle,"This energy based weapon has been modified and improved upon, adding extra firepower and delivering a quieter payload."
Pirate's Penance: Scoped Combat Shotgun,3,uncommon,Weapon,Long,No,Shotgun,15.02,0,0,0.37,2.88 kg,pirates-penance-scoped-combat-shotgun,The Pirate's Penance series is a range of weaponry named and branded towards Freebooters by the marketing division of Ajax Arms and Armors.
Half-Broken Multi-Tool,1,common,Weapon,Short,Yes,Club,0,0,2.13,0.5,0.22 kg,half-broken-multi-tool,This multi-tool sparks and can be used to stun an attacker.
Unusual Pole,3,common,Weapon,Short,Yes,Club,0,0,12,0.182,3.12 kg,unusual-pole,"Seemingly the pole edge of a one-time pike, this iridescent black stone is lightweight and etched with strange characters. Where a pike blade should be, an old photon adhesive threatens energy damage to any it touches."
3D Printer Brush Attachment,2,common,Weapon,Short,Yes,Club,0,0,5.83,0.087,0.27 kg,3d-printer-brush-attachment,"Essentially the brush component of the process of painting in 3D. A heat indicator at the end would have guided the image for production, but the owner has long since thrown out this faulty model."
Frayed Lead Sap Gloves,1,common,Weapon,Short,Yes,Club,0,2.58,0,0.141,1.30 kg,frayed-lead-sap-gloves,"Ordinary, albeit raggedy, looking gloves with powdered lead sewn into the knuckles."
Consortium Stun Baton,2,common,Weapon,Short,Yes,Club,0,0,7.45,0.083,1.10 kg,consortium-stun-baton,A telescopic rod that extends to ready an electric charge on strike.
Aged Navigator’s Tsurugi,1,uncommon,Weapon,Short,Yes,Blade,3.61,0,0,0.096,2.80 kg,aged-navigators-tsurugi,"This one-time beauty has seen better days. A straight, double-edged sword."
Spatula,2,common,Weapon,Short,Yes,Club,0,0,7.57,0.177,0.27 kg,spatula,A steel spatula with a heated end designed to separate boiled meat from bone.
Black Piercer: Sniper Rifle Series,3,uncommon,Weapon,Long,No,Sniper Rifle,0,15.82,0,0.07,7.35 kg,black-piercer-sniper-rifle-series,A fairly common weapon among the Freebooters of the Apples of Discord. This rifle is designed with heavy ordnance and enhanced impact velocity.
Charged-Tip Copper Pipe,1,common,Weapon,Short,Yes,Club,0,0,1.44,0.016,2.30 kg,charged-tip-copper-pipe,Someone outfitted this rubber gripped copper pipe with an electrical discharge. Probably best to only handle the handle.
Gambler’s Knife,3,common,Weapon,Short,Yes,Blade,11.33,0,0,0.177,0.22 kg,gamblers-knife,A switchblade found most commonly among pirates and smugglers.
Golden Sunset Series Hand Canon Mark II,3,epic,Weapon,Short,No,Handgun,0.37,16.23,0.51,0.7,1.68 kg,golden-sunset-series-hand-canon-mark-ii,"Gold plated in places to appeal to those with both the credits to spend and the eloquence to kill in style, the Golden Sunset Series aims to impress your victim for the few moments of life they have left."
Meat Knife,2,common,Weapon,Short,Yes,Blade,8.73,0,0,0.171,0.13 kg,meat-knife,A knife designed to cut flesh.
Bullet Burster Automatic Rifle,3,epic,Weapon,Short,No,Short Barrel Rifle,14.02,3.65,0.01,0.05,4.91 kg,bullet-burster-automatic-rifle,"HWT's Bullet Burster series adds a little sparkling insult to injury as the ordinance for these weapons is infused with thermodynamic nanotechnology, resulting in a small and aesthetically pleasing explosion at the point of impact."
Crate Hammer,1,common,Weapon,Short,Yes,Club,0,2.39,0,0.102,2.00 kg,crate-hammer,This hammer is used to open crates.
Old Sword,2,common,Weapon,Short,Yes,Blade,2.33,5.79,0,0.06,1.10 kg,old-sword,"A  sword that has been left to rot.  From the age of the blade, this may have been one of the first mass-produced weapons from a now prosperous Independent manufacturer who, coincidentally, rarely makes blades anymore."
Black Piercer: Semi-Auto Shotgun Series,3,common,Weapon,Long,No,Shotgun,14.18,0,0,0.51,4.30 kg,black-piercer-semi-auto-shotgun-series,A fairly common weapon among the Freebooters of the Apples of Discord. This semi-automatic shotgun is designed with heavy hitting ordnance and an added stock.
Spark Knuckles,3,rare,Weapon,Short,Yes,Club,0,0,10.21,0.125,0.45 kg,spark-knuckles,A set of brass knuckles with an electric stun feature.
The Ayy-Kii 47,2,epic,Weapon,Long,No,Rifle,2,2,8,0.188,2.80 kg,the-ayy-kii-47,"Named as a callback to an ancient Earth weapon, the Ayy-Kii 47 packs a serious punch and is one of AJAX’s most popular firearms."
Joanna,1,epic,Weapon,Long,No,Shotgun,0,4,2,0.152,2.00 kg,joanna,"She's light as a feather, tough as nails, and will quite literally blow your face off. Named after the ex-wife of her designer, Joanna is one of the most versatile and vicious weapons House of Spartacus has to offer."
Freebooter's Can Opener,3,common,Weapon,Short,Yes,Blade,9.5,4.73,0,0.4,1.48 kg,freebooters-can-opener,"A mass produced combat axe. Freebooters often joke that they use it to crack open victims space suits while pillaging. At least, they seem to be laughing when they say it..."
Wreck Runners Retribution,5,uncommon,Weapon,Long,No,Shotgun,2,25.7,0,0.45,8.92 kg,wreck-runners-retribution,A tactical shotgun favored among the wreck runners of Kobenhavn when needing to scare off scavengers whose greed has outgrown their caution
Sharp Something,3,common,Weapon,Short,No,Short Barrel Rifle,0,0,11.64,0.19,2.80 kg,sharp-something,This short barrel rifle was found among the wreckage of a ship.
G-220,1,uncommon,Weapon,Short,No,Handgun,0,3.8,0,0.066,0.77 kg,g-220,Recruit level firearm often used by those new to the Gaule Protectorate military.
Bullet Burster Automatic Rifle Mark II,2,epic,Weapon,Short,No,Short Barrel Rifle,7.71,3.3,0.56,0.28,1.28 kg,bullet-burster-automatic-rifle-mark-ii,"HWT's Bullet Burster series adds a little sparkling insult to injury as the ordinance for these weapons is infused with thermodynamic nanotechnology, resulting in a small and aesthetically pleasing explosion at the point of impact."
Needler Class Combat Rifle,2,epic,Weapon,Long,No,Rifle,0,13.83,0.07,0.59,5.75 kg,needler-class-combat-rifle,"A weapon designed by House of Spartacus weapons marketing divisions and aimed at elite clientele. Even the deadly, armor piercing ordnance, for some reason, has been dyed a sleek and pleasant purple color."
The Nakatomi Plasma,1,epic,Weapon,Long,No,Rifle,0,0.8,6.9,0.2,5.88 kg,the-nakatomi-plasma,"Out of the Black, the stars advanced. Out of the Black, little lights danced."
Metal Shank,1,common,Weapon,Short,Yes,Blade,2.91,0,0,0.059,0.28 kg,metal-shank,A crude and basic piece of metal sharpened for stabbing.
Miner’s Mace,2,uncommon,Weapon,Short,Yes,Club,0,0,9.26,0.192,2.26 kg,miners-mace,"A diamond edged mace used to shatter brittle, soft stone."
Carbon Club,1,uncommon,Weapon,Short,Yes,Club,0,3.46,0,0.132,0.17 kg,carbon-club,A basic club made of carbon.
X25 Burst Rifle: Mark II,5,common,Weapon,Short,No,Short Barrel Rifle,2.65,13.58,9.99,0.72,4.27 kg,x25-burst-rifle-mark-ii,A short and deadly weapon that delivers its painful payload in short bursts of rapid fire. This version is an improvement upon the original design.
Modified Shanker,3,epic,Weapon,Short,Yes,Blade,7.73,10.23,0,0.32,2.68 kg,modified-shanker,A crude bladed weapon that has seen some minor modification to increase the pain it offers.
G-YoG,2,uncommon,Weapon,Short,No,Short Barrel Rifle,0,10.1,0,0.182,2.80 kg,g-yog,A quick fire SMG used by the Gaule Protectorate.
Rusted Skin-Slicer,4,epic,Weapon,Short,Yes,Blade,8.16,15.3,0,0.73,3.14 kg,rusted-skin-slicer,"The lovechild of a wrench, an old knife, and a heck of a lot of tape. Skin-Slicers are common among ruins rats in this area. This one seems to be rusting over and falling apart a little. Still cuts good though."
